menuId,menuTitle,parentId,menuArg,icons
bbcwbx.xhtml.clp.list,browser.i18n.getMessage(bbcwbx.xhtml.clp.list),bbcwbx.xhtml.clp,"{{list{{clipboard}},""html""}}",
bbcwbx.xhtml.clp.ordlist,browser.i18n.getMessage(bbcwbx.xhtml.clp.ordlist),bbcwbx.xhtml.clp,"{{list{{clipboard}},""htmlord""}}",
bbcwbx.xhtml.clp.alphalist,browser.i18n.getMessage(bbcwbx.xhtml.clp.alphalist),bbcwbx.xhtml.clp,"{{list{{clipboard}},""htmlordalf""}}",
bbcwbx.xhtml.img,browser.i18n.getMessage(bbcwbx.xhtml.img),bbcwbx.xhtml,"<img src=""{{clipboard}}"">",
bbcwbx.xhtml.clp.mkurlsel,browser.i18n.getMessage(bbcwbx.xhtml.clp.mkurlsel),bbcwbx.xhtml.clp,"<a href=""{{clipboard}}"">{{selection}}</a>",
bbcwbx.xhtml.clp.url,browser.i18n.getMessage(bbcwbx.xhtml.clp.url),bbcwbx.xhtml.clp,"<a href=""{{clipboard}}"">{{clipboard}}</a>",
bbcwbx.xhtml.clp.urlname,browser.i18n.getMessage(bbcwbx.xhtml.clp.urlname),bbcwbx.xhtml.clp,"<a href={{clipboard}}"">{{zzpopup,i18n.INS_LINKNAME,"""",""""}}</a>",
bbcwbx.xhtml.wbx,browser.i18n.getMessage(bbcwbx.xhtml.wbx),bbcwbx.xhtml,,
bbcwbx.xhtml.wbx.quote,browser.i18n.getMessage(bbcwbx.xhtml.wbx.quote),bbcwbx.xhtml.wbx,<blockquote>{{selection}}</blockquote>,
bbcwbx.xhtml.wbx.code,browser.i18n.getMessage(bbcwbx.xhtml.wbx.code),bbcwbx.xhtml.wbx,<code>{{selection}}</code>,
bbcwbx.xhtml.wbx.list,browser.i18n.getMessage(bbcwbx.xhtml.wbx.list),bbcwbx.xhtml.wbx,"{{list{{selection}},""html""}}",
bbcwbx.xhtml.wbx.ordlist,browser.i18n.getMessage(bbcwbx.xhtml.wbx.ordlist),bbcwbx.xhtml.wbx,"{{list{{selection}},""htmlord""}}",
bbcwbx.xhtml.wbx.alphalist,browser.i18n.getMessage(bbcwbx.xhtml.wbx.alphalist),bbcwbx.xhtml.wbx,"{{list{{selection}},""htmlordalf""}}",
bbcwbx.xhtml.wbx.urlname,browser.i18n.getMessage(bbcwbx.xhtml.wbx.urlname),bbcwbx.xhtml.wbx,"<a href={{selection}}"">{{zzpopup,i18n.INS_LINKNAME,"""",""""}}</a>",
bbcwbx.xhtml.wbx.urlwiz,browser.i18n.getMessage(bbcwbx.xhtml.wbx.urlwiz),bbcwbx.xhtml.wbx,"<a href=""{{zzpopup,URL?,"""",""""}}>{{zzpopup,Link name?,""""v""""}}</a>",
bbcwbx.xhtml.bold,browser.i18n.getMessage(bbcwbx.xhtml.bold),bbcwbx.xhtml,<strong>{{selection}}</strong>,
bbcwbx.xhtml.ital,browser.i18n.getMessage(bbcwbx.xhtml.ital),bbcwbx.xhtml,<em>{{selection}}</em>,
bbcwbx.xhtml.undrln,browser.i18n.getMessage(bbcwbx.xhtml.undrln),bbcwbx.xhtml,<ins>{{selection}}</ins>,
bbcwbx.xhtml.strk,browser.i18n.getMessage(bbcwbx.xhtml.strk),bbcwbx.xhtml,<del>{{selection}}</del>,
bbcwbx.xhtml.image,browser.i18n.getMessage(bbcwbx.xhtml.image),bbcwbx.xhtml,"<img src=""{{selection}}"">",
bbcwbx.xhtml.url,browser.i18n.getMessage(bbcwbx.xhtml.url),bbcwbx.xhtml,"<a href=""{{selection}}"">{{selection}}</a>",
bbcwbx.custom,browser.i18n.getMessage(bbcwbx.custom),,,"{
""16: ""icons/wbx.svg"",
""32: ""icons/wbx.svg"",
""48: ""icons/wbx.svg"",
""96: ""icons/wbx.svg"",
""128: ""icons/wbx.svg""
}"
bbcwbx.mkdn,browser.i18n.getMessage(bbcwbx.mkdn),,,"{
""16: ""icons/wbx.svg"",
""32: ""icons/wbx.svg"",
""48: ""icons/wbx.svg"",
""96: ""icons/wbx.svg"",
""128: ""icons/wbx.svg""
}"
bbcwbx.mkdn.clp,browser.i18n.getMessage(bbcwbx.mkdn.clp),bbcwbx.mkdn,,
bbcwbx.mkdn.clp.quote,browser.i18n.getMessage(bbcwbx.mkdn.clp.quote),bbcwbx.mkdn.clp,> {{clipboard},
bbcwbx.mkdn.clp.code,browser.i18n.getMessage(bbcwbx.mkdn.clp.code),bbcwbx.mkdn.clp,```+'\n' {{clipboard}+'\n'+ ```+'\n',
bbcwbx.mkdn.clp.list,browser.i18n.getMessage(bbcwbx.mkdn.clp.list),bbcwbx.mkdn.clp,"{{list{{clipboard}},""markdown""}}",
bbcwbx.mkdn.clp.ordlist,browser.i18n.getMessage(bbcwbx.mkdn.clp.ordlist),bbcwbx.mkdn.clp,"{{list{{clipboard}},""markdownord""}}",
bbcwbx.mkdn.clp.mkurlsel,browser.i18n.getMessage(bbcwbx.mkdn.clp.mkurlsel),bbcwbx.mkdn.clp,[{{selection}}]({{clipboard}}),
bbcwbx.mkdn.clp.mkimgsel,browser.i18n.getMessage(bbcwbx.mkdn.clp.mkimgsel),bbcwbx.mkdn.clp,![{{selection}}]({{clipboard}}),
bbcwbx.mkdn.clp.urlname,browser.i18n.getMessage(bbcwbx.mkdn.clp.urlname),bbcwbx.mkdn.clp,"[{{zzpopup,i18n.INS_LINKNAME,"""",""""}}]({{clipboard}})",
bbcwbx.mkdn.wbx,browser.i18n.getMessage(bbcwbx.mkdn.wbx),bbcwbx.mkdn,,
bbcwbx.mkdn.wbx.quote,browser.i18n.getMessage(bbcwbx.mkdn.wbx.quote),bbcwbx.mkdn.wbx,,
bbcwbx.mkdn.wbx.code,browser.i18n.getMessage(bbcwbx.mkdn.wbx.code),bbcwbx.mkdn.wbx,,
bbcwbx.mkdn.wbx.list,browser.i18n.getMessage(bbcwbx.mkdn.wbx.list),bbcwbx.mkdn.wbx,,
bbcwbx.mkdn.wbx.ordlist,browser.i18n.getMessage(bbcwbx.mkdn.wbx.ordlist),bbcwbx.mkdn.wbx,,
bbcwbx.mkdn.wbx.urlname,browser.i18n.getMessage(bbcwbx.mkdn.wbx.urlname),bbcwbx.mkdn.wbx,,
bbcwbx.mkdn.wbx.urlwiz,browser.i18n.getMessage(bbcwbx.mkdn.wbx.urlwiz),bbcwbx.mkdn.wbx,,
bbcwbx.mkdn.bold,browser.i18n.getMessage(bbcwbx.mkdn.bold),bbcwbx.mkdn,,
bbcwbx.mkdn.ital,browser.i18n.getMessage(bbcwbx.mkdn.ital),bbcwbx.mkdn,,
bbcwbx.mkdn.strk,browser.i18n.getMessage(bbcwbx.mkdn.strk),bbcwbx.mkdn,,
